lemma	lemma_orth	xpostag	llfpm10	lemma_freq	c1	c2	lemma_syl_count	form_v	form_v_orth	suffix_v	freq_v	lfpm10v	suffix_nv	form_nv	form_nv_orth	freq_nv	lfpm10nv	odds_v	lo_v	varies	tag	tag_freq_in_dataset	category	form	suffix_init	trigram	bigram1	bigram2	type
vált	vált	[/V][Prs.NDef.3Pl]	3.138701646345799	1179469	l	t	1	váltanak	váltanak	anak	39916	1.668162129495893	NA	NA	NA	NA	NA	NA	NA	FALSE	Prs.NDef.3Pl (mondanak)	4938	cc training	váltanak	NA	NA	lt	NA	linking vowel always
mond	mond	[/V][Prs.NDef.2Sg]	4.129447533832242	11546023	n	d	1	mondas	mondasz	as	39605	1.6647651331678863	s	monds	mondsz	407	-0.3233904752327378	97.30958230958232	4.577897466455785	TRUE	Prs.NDef.2Sg (mondas)	4096	test	monds	s	nds	nd	ds	linking vowel varies
ḏárt	gyárt	[/V][Prs.NDef.3Pl]	2.644984606286616	378416	r	t	1	ḏártanak	gyártanak	anak	38159	1.648612100542327	nak	ḏártnak	gyártnak	12	-1.853803638410333	3179.9166666666665	8.06461026998012	TRUE	Prs.NDef.3Pl (mondanak)	4938	test	ḏártnak	n	rtn	rt	tn	linking vowel varies
költ	költ	[/V][Prs.NDef.3Pl]	2.6688025015437415	399749	l	t	1	költenek	költenek	enek	37867	1.6452760151953587	nek	költnek	költnek	12	-1.853803638410333	3155.5833333333335	8.056928649591235	TRUE	Prs.NDef.3Pl (mondanak)	4938	test	költnek	n	ltn	lt	tn	linking vowel varies
eḏetért	egyetért	[/V][Prs.NDef.3Pl]	2.6806793792943684	410832	r	t	3	eḏetértenek	egyetértenek	enek	35284	1.6145929289478442	nek	eḏetértnek	egyetértnek	6	-2.1548336340743144	5880.666666666667	8.679425413150602	TRUE	Prs.NDef.3Pl (mondanak)	4938	test	eḏetértnek	n	rtn	rt	tn	linking vowel varies
ért	ért	[/V][Prs.NDef.2Sg]	3.4293511043012694	2303223	r	t	1	értes	értesz	es	34591	1.605978232867311	s	érts	értsz	76	-1.0521712921771664	455.14473684210526	6.120615471316616	TRUE	Prs.NDef.2Sg (mondas)	4096	test	érts	s	rts	rt	ts	linking vowel varies
hajt	hajt	[/V][Prs.NDef.3Pl]	2.919594521957997	712163	j	t	1	hajtanak	hajtanak	anak	33773	1.5955847555549336	nak	hajtnak	hajtnak	18	-1.6777123793546518	1876.2777777777776	7.537045187782931	TRUE	Prs.NDef.3Pl (mondanak)	4938	test	hajtnak	n	jtn	jt	tn	linking vowel varies
ajánl	ajánl	[/V][Prs.NDef.3Pl]	3.322595137004172	1801275	n	l	2	ajánlanak	ajánlanak	anak	30906	1.5570579158062647	nak	ajánlnak	ajánlnak	26	-1.5180115364871398	1188.6923076923076	7.080609080772158	TRUE	Prs.NDef.3Pl (mondanak)	4938	test	ajánlnak	n	nln	nl	ln	linking vowel varies
ost	oszt	[/V][Prs.NDef.3Pl]	3.0325272520246824	923660	s	t	1	ostanak	osztanak	anak	26269	1.486458656057534	nak	ostnak	osztnak	4	-2.3309248931299953	6567.25	8.789850454599907	TRUE	Prs.NDef.3Pl (mondanak)	4938	test	ostnak	n	stn	st	tn	linking vowel varies
kezd	kezd	[/V][Prs.NDef.2Sg]	3.772113864625659	5071060	z	d	1	kezdes	kezdesz	es	26079	1.483306049886882	s	kezds	kezdsz	8	-2.0298948974660145	3259.875	8.089444130067339	TRUE	Prs.NDef.2Sg (mondas)	4096	test	kezds	s	zds	zd	ds	linking vowel varies
függ	függ	[/V][Prs.NDef.3Pl]	2.921588333286279	715440	g	g	1	függenek	függenek	enek	20551	1.3798480747913793	nek	függnek	függnek	24876	1.4627956636835278	0.8261376427078309	-0.1909938816828596	TRUE	Prs.NDef.3Pl (mondanak)	4938	test	függnek	n	ggn	gg	gn	linking vowel varies
kelt	kelt	[/V][Prs.NDef.3Pl]	2.7981185534768014	538398	l	t	1	keltenek	keltenek	enek	23904	1.445485695677347	NA	NA	NA	NA	NA	NA	NA	FALSE	Prs.NDef.3Pl (mondanak)	4938	cc training	keltenek	NA	NA	lt	NA	linking vowel always
válast	választ	[/V][Prs.NDef.2Sg]	3.596984538197973	3388203	s	t	2	válastas	választasz	as	23424	1.43667617492034	s	válasts	választsz	3	-2.455863629738295	7808	8.962904128092928	TRUE	Prs.NDef.2Sg (mondas)	4096	test	válasts	s	sts	st	ts	linking vowel varies
dönt	dönt	[/V][Prs.NDef.2Sg]	3.394476429170933	2125501	n	t	1	döntes	döntesz	es	22910	1.4270402047314397	s	dönts	döntsz	22	-1.5905622036357516	1041.3636363636365	6.948286322089225	TRUE	Prs.NDef.2Sg (mondas)	4096	test	dönts	s	nts	nt	ts	linking vowel varies
rejt	rejt	[/V][Prs.NDef.3Pl]	2.5010631926907587	271674	j	t	1	rejtenek	rejtenek	enek	22724	1.4234998961472631	nek	rejtnek	rejtnek	22	-1.5905622036357516	1032.909090909091	6.940134460318702	TRUE	Prs.NDef.3Pl (mondanak)	4938	test	rejtnek	n	jtn	jt	tn	linking vowel varies
fejlest	fejleszt	[/V][Prs.NDef.3Pl]	2.9435296996301	752514	s	t	2	fejlestenek	fejlesztenek	enek	21776	1.4049932234013016	NA	NA	NA	NA	NA	NA	NA	FALSE	Prs.NDef.3Pl (mondanak)	4938	cc training	fejlestenek	NA	NA	st	NA	linking vowel always
érint	érint	[/V][Prs.NDef.3Pl]	3.006391077264476	869713	n	t	2	érintenek	érintenek	enek	20493	1.3786206555965097	nek	érintnek	érintnek	3	-2.455863629738295	6831	8.82922635473185	TRUE	Prs.NDef.3Pl (mondanak)	4938	test	érintnek	n	ntn	nt	tn	linking vowel varies
örvend	örvend	[/V][Prs.NDef.3Pl]	2.1193126646506104	112797	n	d	2	örvendenek	örvendenek	enek	18970	1.3450824464307047	nek	örvendnek	örvendnek	691	-0.09350683708375944	27.452966714905937	3.31247423916139	TRUE	Prs.NDef.3Pl (mondanak)	4938	test	örvendnek	n	ndn	nd	dn	linking vowel varies
vall	vall	[/V][Prs.NDef.3Pl]	2.7990089795374744	539503	l	l	1	vallanak	vallanak	anak	18099	1.324669695578109	nak	vallnak	vallnak	91	-0.9739434921368644	198.8901098901099	5.2927524605920215	TRUE	Prs.NDef.3Pl (mondanak)	4938	test	vallnak	n	lln	ll	ln	linking vowel varies
kattint	kattint	[/V][Prs.NDef.2Sg]	3.101250403862836	1082020	n	t	2	kattintas	kattintasz	as	17196	1.3024425519870115	s	kattints	kattintsz	36	-1.3766823836906703	477.6666666666667	6.168913139160062	TRUE	Prs.NDef.2Sg (mondas)	4096	test	kattints	s	nts	nt	ts	linking vowel varies
hall	hall	[/V][Prs.NDef.3Pl]	3.340736603116228	1878112	l	l	1	hallanak	hallanak	anak	16526	1.2851828639624676	NA	NA	NA	NA	NA	NA	NA	FALSE	Prs.NDef.3Pl (mondanak)	4938	cc training	hallanak	NA	NA	ll	NA	linking vowel always
hall	hall	[/V][Prs.NDef.2Sg]	3.340736603116228	1878112	l	l	1	hallas	hallasz	as	15986	1.2707549241759004	s	halls	hallsz	44	-1.2895322079717704	363.3181818181818	5.895278984267703	TRUE	Prs.NDef.2Sg (mondas)	4096	test	halls	s	lls	ll	ls	linking vowel varies
kering	kering	[/V][Prs.NDef.3Pl]	1.9960046439135095	84916	n	g	2	keringenek	keringenek	enek	15387	1.254169069327458	nek	keringnek	keringnek	532	-0.20707325216290967	28.922932330827063	3.3646347867157336	TRUE	Prs.NDef.3Pl (mondanak)	4938	test	keringnek	n	ngn	ng	gn	linking vowel varies
ért	ért	[/V][Prs.NDef.2Pl]	3.4293511043012694	2303223	r	t	1	értetek	értetek	etek	14932	1.2411330967963092	tek	érttek	érttek	10	-1.9329848844579576	1493.2	7.308676747040429	TRUE	Prs.NDef.2Pl (mondotok)	3308	test	érttek	t	rtt	rt	tt	linking vowel varies
hord	hord	[/V][Prs.NDef.3Pl]	2.5559590570874056	308279	r	d	1	hordanak	hordanak	anak	14922	1.2408421511956218	nak	hordnak	hordnak	38	-1.3532012878411477	392.6842105263158	5.973005753305074	TRUE	Prs.NDef.3Pl (mondanak)	4938	test	hordnak	n	rdn	rd	dn	linking vowel varies
rajong	rajong	[/V][Prs.NDef.3Pl]	2.0252970219361894	90841	n	g	2	rajonganak	rajonganak	anak	13803	1.2069886035265007	nak	rajongnak	rajongnak	309	-0.4430264050331232	44.66990291262136	3.7992999619258327	TRUE	Prs.NDef.3Pl (mondanak)	4938	test	rajongnak	n	ngn	ng	gn	linking vowel varies
küzd	küzd	[/V][Prs.NDef.2Sg]	2.8842471998392543	656496	z	d	1	küzdes	küzdesz	es	13677	1.2030059624636669	s	küzds	küzdsz	9	-1.978742375018633	1519.6666666666667	7.326246291545332	TRUE	Prs.NDef.2Sg (mondas)	4096	test	küzds	s	zds	zd	ds	linking vowel varies
fešt	fest	[/V][Prs.NDef.3Pl]	2.6777795819372385	408098	š	t	1	feštenek	festenek	enek	13412	1.1945086602988246	nek	feštnek	festnek	1	-2.932984884457958	13412	9.50390510758612	TRUE	Prs.NDef.3Pl (mondanak)	4938	test	feštnek	n	štn	št	tn	linking vowel varies
tölt	tölt	[/V][Prs.NDef.2Sg]	3.4380290110614276	2349708	l	t	1	töltes	töltesz	es	12150	1.151591393476373	s	tölts	töltsz	8	-2.0298948974660145	1518.75	7.325642907088859	TRUE	Prs.NDef.2Sg (mondas)	4096	test	tölts	s	lts	lt	ts	linking vowel varies
áll	áll	[/V][Prs.NDef.2Pl]	3.9639210093508	7886892	l	l	1	NA	NA	NA	NA	NA	tok	álltok	álltok	11911	1.1429633401860773	NA	NA	FALSE	Prs.NDef.2Pl (mondotok)	3308	cc training	álltok	t	llt	ll	lt	linking vowel never
árt	árt	[/V][Prs.NDef.3Pl]	2.658968559291343	390799	r	t	1	ártanak	ártanak	anak	11801	1.1389339259058484	nak	ártnak	ártnak	6	-2.1548336340743144	1966.8333333333333	7.584180083397694	TRUE	Prs.NDef.3Pl (mondanak)	4938	test	ártnak	n	rtn	rt	tn	linking vowel varies
kattint	kattint	[/V][Prs.NDef.3Pl]	3.101250403862836	1082020	n	t	2	kattintanak	kattintanak	anak	11418	1.1246051542127062	nak	kattintnak	kattintnak	44	-1.2895322079717704	259.5	5.558756702605943	TRUE	Prs.NDef.3Pl (mondanak)	4938	test	kattintnak	n	ntn	nt	tn	linking vowel varies
kösönt	köszönt	[/V][Prs.1Sg›2]	2.6232584999815622	359951	n	t	2	kösöntelek	köszöntelek	elek	11057	1.1106524251346128	lek	kösöntlek	köszöntlek	549	-0.1934125400078659	20.140255009107467	3.0027205490328712	TRUE	Prs.1Sg›2 (mondalak)	1749	test	kösöntlek	l	ntl	nt	tl	linking vowel varies
termest	termeszt	[/V][Prs.NDef.3Pl]	1.952517684470458	76825	s	t	2	termestenek	termesztenek	enek	10902	1.10452129323372	nek	termestnek	termesztnek	2	-2.6319548887939765	5451	8.603554357064281	TRUE	Prs.NDef.3Pl (mondanak)	4938	test	termestnek	n	stn	st	tn	linking vowel varies
támast	támaszt	[/V][Prs.NDef.3Pl]	2.412676973025972	221647	s	t	2	támastanak	támasztanak	anak	10677	1.0954643582655506	nak	támastnak	támasztnak	3	-2.455863629738295	3559	8.177234885510194	TRUE	Prs.NDef.3Pl (mondanak)	4938	test	támastnak	n	stn	st	tn	linking vowel varies
ölt	ölt	[/V][Prs.NDef.3Pl]	2.2726768182003068	160569	l	t	1	öltenek	öltenek	enek	10392	1.0837142536070137	NA	NA	NA	NA	NA	NA	NA	FALSE	Prs.NDef.3Pl (mondanak)	4938	cc training	öltenek	NA	NA	lt	NA	linking vowel always
terjest	terjeszt	[/V][Prs.NDef.3Pl]	2.4984882437993483	270068	s	t	2	terjestenek	terjesztenek	enek	10345	1.0817456105437957	nek	terjestnek	terjesztnek	1	-2.932984884457958	10345	9.244258590179644	TRUE	Prs.NDef.3Pl (mondanak)	4938	test	terjestnek	n	stn	st	tn	linking vowel varies
fejt	fejt	[/V][Prs.NDef.3Pl]	2.4782289537346416	257759	j	t	1	fejtenek	fejtenek	enek	9996	1.0668413629964546	NA	NA	NA	NA	NA	NA	NA	FALSE	Prs.NDef.3Pl (mondanak)	4938	cc training	fejtenek	NA	NA	jt	NA	linking vowel always
küld	küld	[/V][Prs.NDef.2Sg]	3.329046184230405	1828231	l	d	1	küldes	küldesz	es	9413	1.0407431742300697	s	külds	küldsz	38	-1.3532012878411477	247.71052631578948	5.512260831820835	TRUE	Prs.NDef.2Sg (mondas)	4096	test	külds	s	lds	ld	ds	linking vowel varies
veršeng	verseng	[/V][Prs.NDef.3Pl]	1.673041590197379	40367	n	g	2	veršengenek	versengenek	enek	9319	1.0363844272755696	nek	veršengnek	versengnek	327	-0.4184371317976717	28.498470948012233	3.349850434888402	TRUE	Prs.NDef.3Pl (mondanak)	4938	test	veršengnek	n	ngn	ng	gn	linking vowel varies
ejt	ejt	[/V][Prs.NDef.3Pl]	2.54627650321544	301482	j	t	1	ejtenek	ejtenek	enek	9137	1.027818740453812	nek	ejtnek	ejtnek	4	-2.3309248931299953	2284.25	7.73379302187873	TRUE	Prs.NDef.3Pl (mondanak)	4938	test	ejtnek	n	jtn	jt	tn	linking vowel varies
edz	edz	[/V][Prs.NDef.3Pl]	2.3313488081092952	183795	d	z	1	edzenek	edzenek	enek	9134	1.027676122813024	nek	edznek	edznek	9	-1.978742375018633	1014.8888888888888	6.922534416408725	TRUE	Prs.NDef.3Pl (mondanak)	4938	test	edznek	n	dzn	dz	zn	linking vowel varies
kelt	kelt	[/V][Prs.NDef.2Sg]	2.7981185534768014	538398	l	t	1	keltes	keltesz	es	8990	1.020774807275271	s	kelts	keltsz	2	-2.6319548887939765	4495	8.410720946905721	TRUE	Prs.NDef.2Sg (mondas)	4096	test	kelts	s	lts	lt	ts	linking vowel varies
foḏast	fogyaszt	[/V][Prs.NDef.2Sg]	2.9152615186654556	705093	s	t	2	foḏastas	fogyasztasz	as	8874	1.0151345399225782	s	foḏasts	fogyasztsz	3	-2.455863629738295	2958	7.992268643270745	TRUE	Prs.NDef.2Sg (mondas)	4096	test	foḏasts	s	sts	st	ts	linking vowel varies
ellentmond	ellentmond	[/V][Prs.NDef.3Pl]	1.8501894968434336	60698	n	d	3	ellentmondanak	ellentmondanak	anak	8598	1.0014125563230305	nak	ellentmondnak	ellentmondnak	29	-1.4705868865590015	296.48275862068965	5.691989067069753	TRUE	Prs.NDef.3Pl (mondanak)	4938	test	ellentmondnak	n	ndn	nd	dn	linking vowel varies
kell	kell	[/V][Prs.NDef.2Sg]	4.529006843156771	28972884	l	l	1	kelles	kellesz	es	8577	1.0003505256196934	s	kells	kellsz	16	-1.728864901802033	536.0625	6.28425075875064	TRUE	Prs.NDef.2Sg (mondas)	4096	test	kells	s	lls	ll	ls	linking vowel varies
old	old	[/V][Prs.NDef.3Pl]	2.8249058973828483	572652	l	d	1	oldanak	oldanak	anak	7809	0.9596105383709403	nak	oldnak	oldnak	15	-1.756893625402277	520.6	6.254981992560465	TRUE	Prs.NDef.3Pl (mondanak)	4938	test	oldnak	n	ldn	ld	dn	linking vowel varies
eḏetért	egyetért	[/V][Prs.NDef.2Sg]	2.6806793792943684	410832	r	t	3	eḏetértes	egyetértesz	es	7768	0.9573243324419906	s	eḏetérts	egyetértsz	7	-2.087886844443701	1109.7142857142858	7.011857860915848	TRUE	Prs.NDef.2Sg (mondas)	4096	test	eḏetérts	s	rts	rt	ts	linking vowel varies
kiált	kiált	[/V][Prs.NDef.3Pl]	2.355172642073583	194159	l	t	2	kiáltanak	kiáltanak	anak	7741	0.955812182998723	nak	kiáltnak	kiáltnak	29	-1.4705868865590015	266.9310344827586	5.586990327218239	TRUE	Prs.NDef.3Pl (mondanak)	4938	test	kiáltnak	n	ltn	lt	tn	linking vowel varies
árast	áraszt	[/V][Prs.NDef.3Pl]	2.0384301389270374	93630	s	t	2	árastanak	árasztanak	anak	7527	0.9436370315763152	nak	árastnak	árasztnak	1	-2.932984884457958	7527	8.926251835034533	TRUE	Prs.NDef.3Pl (mondanak)	4938	test	árastnak	n	stn	st	tn	linking vowel varies
bánt	bánt	[/V][Prs.NDef.3Pl]	2.302654646830123	172044	n	t	1	bántanak	bántanak	anak	7388	0.935542002310246	NA	NA	NA	NA	NA	NA	NA	FALSE	Prs.NDef.3Pl (mondanak)	4938	cc training	bántanak	NA	NA	nt	NA	linking vowel always
tart	tart	[/V][Prs.NDef.2Pl]	3.987109835917599	8319452	r	t	1	tartotok	tartotok	otok	7279	0.9290868349220364	tok	tarttok	tarttok	14	-1.7868568487797198	519.9285714285714	6.253691439502999	TRUE	Prs.NDef.2Pl (mondotok)	3308	test	tarttok	t	rtt	rt	tt	linking vowel varies
ért	ért	[/V][Prs.1Sg›2]	3.4293511043012694	2303223	r	t	1	értelek	értelek	elek	7233	0.9263335806391584	lek	értlek	értlek	128	-0.8257749148100895	56.5078125	4.034378902929664	TRUE	Prs.1Sg›2 (mondalak)	1749	test	értlek	l	rtl	rt	tl	linking vowel varies
int	int	[/V][Prs.NDef.3Pl]	2.329181328593249	182880	n	t	1	intenek	intenek	enek	6982	0.9109949600202022	nek	intnek	intnek	7	-2.087886844443701	997.4285714285714	6.905180538609668	TRUE	Prs.NDef.3Pl (mondanak)	4938	test	intnek	n	ntn	nt	tn	linking vowel varies
tekint	tekint	[/V][Prs.NDef.2Sg]	3.253129436802632	1535021	n	t	2	tekintes	tekintesz	es	6947	0.9088124144163976	s	tekints	tekintsz	63	-1.133644335004376	110.26984126984128	4.702930464301348	TRUE	Prs.NDef.2Sg (mondas)	4096	test	tekints	s	nts	nt	ts	linking vowel varies
edz	edz	[/V][Prs.NDef.2Sg]	2.3313488081092952	183795	d	z	1	NA	NA	NA	NA	NA	el	edzel	edzel	6942	0.9084997248774354	NA	NA	FALSE	Prs.NDef.2Sg (mondas)	4096	cc training	edzel	e	dze	dz	ze	linking vowel never
reng	reng	[/V][Prs.NDef.2Pl]	1.2320515955366076	14623	n	g	1	rengetek	rengetek	etek	6867	0.9037821629362476	tek	rengtek	rengtek	44	-1.2895322079717704	156.0681818181818	5.0502929747024154	TRUE	Prs.NDef.2Pl (mondotok)	3308	test	rengtek	t	ngt	ng	gt	linking vowel varies
ment	ment	[/V][Prs.NDef.3Pl]	2.6656885548669886	396893	n	t	1	mentenek	mentenek	enek	6665	0.8908152692919202	NA	NA	NA	NA	NA	NA	NA	FALSE	Prs.NDef.3Pl (mondanak)	4938	cc training	mentenek	NA	NA	nt	NA	linking vowel always
ḏújt	gyújt	[/V][Prs.NDef.3Pl]	2.117290442944573	112273	j	t	1	ḏújtanak	gyújtanak	anak	6310	0.8670444747861765	nak	ḏújtnak	gyújtnak	3	-2.455863629738295	2103.3333333333335	7.651278666867149	TRUE	Prs.NDef.3Pl (mondanak)	4938	test	ḏújtnak	n	jtn	jt	tn	linking vowel varies
ront	ront	[/V][Prs.NDef.3Pl]	2.498256616638663	269924	n	t	1	rontanak	rontanak	anak	6283	0.8651821752579814	nak	rontnak	rontnak	11	-1.8915921992997329	571.1818181818181	6.3477075796045765	TRUE	Prs.NDef.3Pl (mondanak)	4938	test	rontnak	n	ntn	nt	tn	linking vowel varies
vált	vált	[/V][Prs.NDef.2Sg]	3.138701646345799	1179469	l	t	1	váltas	váltasz	as	5874	0.8359490577288237	s	válts	váltsz	14	-1.7868568487797198	419.57142857142856	6.039233782143307	TRUE	Prs.NDef.2Sg (mondas)	4096	test	válts	s	lts	lt	ts	linking vowel varies
tart	tart	[/V][Prs.1Sg›2]	3.987109835917599	8319452	r	t	1	tartalak	tartalak	alak	5730	0.8251697375094321	lak	tartlak	tartlak	91	-0.9739434921368644	62.96703296703296	4.142611303191935	TRUE	Prs.1Sg›2 (mondalak)	1749	test	tartlak	l	rtl	rt	tl	linking vowel varies
teremt	teremt	[/V][Prs.NDef.2Sg]	2.9969798872652507	851069	m	t	2	teremtes	teremtesz	es	5528	0.8095831499081841	s	teremts	teremtsz	17	-1.702535963079684	325.1764705882353	5.784368021391289	TRUE	Prs.NDef.2Sg (mondas)	4096	test	teremts	s	mts	mt	ts	linking vowel varies
