lemma	lemma_orth	xpostag	llfpm10	lemma_freq	coda	c1	c2	lemma_syl_count	class	form_v	form_v_orth	suffix_v	freq_v	lfpm10v	suffix_nv	form_nv	form_nv_orth	freq_nv	lfpm10nv	odds_v	lo_v	varies	tag	tag_freq_in_dataset	category	form
rejt	rejt	[/V][Prs.NDef.3Pl]	2.5010631926907587	271674	jt	j	t	1	cc	rejtenek	rejtenek	enek	22724	1.4234998961472631	nek	rejtnek	rejtnek	22	-1.5905622036357516	1032.909090909091	6.940134460318702	TRUE	Prs.NDef.3Pl (mondanak)	4938	test	rejtnek
tulajdonít	tulajdonít	[/V][Prs.NDef.3Pl]	2.195323896816683	134372	t	t		4	vc	tulajdonítanak	tulajdonítanak	anak	22117	1.4117413334819024	nak	tulajdonítnak	tulajdonítnak	28	-1.4858268531157386	789.8928571428571	6.671897312393518	TRUE	Prs.NDef.3Pl (mondanak)	4938	NA	NA
bočát	bocsát	[/V][Prs.NDef.3Pl]	2.659027454137191	390852	t	t		2	vc	bočátanak	bocsátanak	anak	21461	1.3986650700947854	nak	bočátnak	bocsátnak	50	-1.234014880121939	429.22	6.061969607993336	TRUE	Prs.NDef.3Pl (mondanak)	4938	NA	NA
érint	érint	[/V][Prs.NDef.3Pl]	3.006391077264476	869713	nt	n	t	2	cc	érintenek	érintenek	enek	20493	1.3786206555965097	nek	érintnek	érintnek	3	-2.455863629738295	6831	8.82922635473185	TRUE	Prs.NDef.3Pl (mondanak)	4938	test	érintnek
örvend	örvend	[/V][Prs.NDef.3Pl]	2.1193126646506104	112797	nd	n	d	2	cc	örvendenek	örvendenek	enek	18970	1.3450824464307047	nek	örvendnek	örvendnek	691	-0.09350683708375944	27.452966714905934	3.31247423916139	TRUE	Prs.NDef.3Pl (mondanak)	4938	test	örvendnek
vall	vall	[/V][Prs.NDef.3Pl]	2.7990089795374744	539503	ll	l	l	1	cc	vallanak	vallanak	anak	18099	1.324669695578109	nak	vallnak	vallnak	91	-0.9739434921368644	198.8901098901099	5.2927524605920215	TRUE	Prs.NDef.3Pl (mondanak)	4938	test	vallnak
valóšít	valósít	[/V][Prs.NDef.3Pl]	2.473710251849645	255091	t	t		3	vc	valóšítanak	valósítanak	anak	17389	1.3072897230209315	nak	valóšítnak	valósítnak	4	-2.3309248931299953	4347.25	8.377298740262178	TRUE	Prs.NDef.3Pl (mondanak)	4938	NA	NA
kattint	kattint	[/V][Prs.NDef.2Sg]	3.101250403862836	1082020	nt	n	t	2	cc	kattintas	kattintasz	as	17196	1.3024425519870115	s	kattints	kattintsz	36	-1.3766823836906703	477.6666666666667	6.168913139160062	TRUE	Prs.NDef.2Sg (mondas)	4096	test	kattints
šegít	segít	[/V][Prs.NDef.2Sg]	3.737458026782751	4682124	t	t		2	vc	šegítes	segítesz	es	16462	1.2834977128945022	s	šegíts	segítsz	196	-0.6407288131014818	83.98979591836735	4.430695314302072	TRUE	Prs.NDef.2Sg (mondas)	4096	NA	NA
hall	hall	[/V][Prs.NDef.2Sg]	3.340736603116228	1878112	ll	l	l	1	cc	hallas	hallasz	as	15986	1.2707549241759004	s	halls	hallsz	44	-1.2895322079717704	363.3181818181818	5.895278984267703	TRUE	Prs.NDef.2Sg (mondas)	4096	test	halls
világít	világít	[/V][Prs.NDef.3Pl]	2.356218203980138	194627	t	t		3	vc	világítanak	világítanak	anak	15917	1.2688763318193046	nak	világítnak	világítnak	25	-1.5350448757859203	636.68	6.4562671745616536	TRUE	Prs.NDef.3Pl (mondanak)	4938	NA	NA
kering	kering	[/V][Prs.NDef.3Pl]	1.9960046439135095	84916	ng	n	g	2	cc	keringenek	keringenek	enek	15387	1.254169069327458	nek	keringnek	keringnek	532	-0.20707325216290967	28.922932330827066	3.3646347867157336	TRUE	Prs.NDef.3Pl (mondanak)	4938	test	keringnek
ért	ért	[/V][Prs.NDef.2Pl]	3.4293511043012694	2303223	rt	r	t	1	cc	értetek	értetek	etek	14932	1.2411330967963092	tek	érttek	érttek	10	-1.9329848844579576	1493.2	7.308676747040429	TRUE	Prs.NDef.2Pl (mondotok)	3308	test	érttek
hord	hord	[/V][Prs.NDef.3Pl]	2.5559590570874056	308279	rd	r	d	1	cc	hordanak	hordanak	anak	14922	1.2408421511956218	nak	hordnak	hordnak	38	-1.3532012878411477	392.6842105263158	5.973005753305074	TRUE	Prs.NDef.3Pl (mondanak)	4938	test	hordnak
tapastal	tapasztal	[/V][Prs.NDef.3Pl]	2.9363571555337376	740188	l	l		3	vc	tapastalanak	tapasztalanak	anak	25	-1.5350448757859203	nak	tapastalnak	tapasztalnak	14223	1.2200063255806612	0.0017577163748857484	-6.343739826702027	TRUE	Prs.NDef.3Pl (mondanak)	4938	NA	NA
vesít	veszít	[/V][Prs.NDef.3Pl]	2.5808730275382565	326481	t	t		2	vc	vesítenek	veszítenek	enek	13968	1.2121493419035367	nek	vesítnek	veszítnek	9	-1.978742375018633	1552	7.347299700743164	TRUE	Prs.NDef.3Pl (mondanak)	4938	NA	NA
rajong	rajong	[/V][Prs.NDef.3Pl]	2.0252970219361894	90841	ng	n	g	2	cc	rajonganak	rajonganak	anak	13803	1.2069886035265007	nak	rajongnak	rajongnak	309	-0.4430264050331232	44.66990291262136	3.7992999619258327	TRUE	Prs.NDef.3Pl (mondanak)	4938	test	rajongnak
küzd	küzd	[/V][Prs.NDef.2Sg]	2.8842471998392543	656496	zd	z	d	1	cc	küzdes	küzdesz	es	13677	1.2030059624636669	s	küzds	küzdsz	9	-1.978742375018633	1519.6666666666667	7.326246291545332	TRUE	Prs.NDef.2Sg (mondas)	4096	test	küzds
késít	készít	[/V][Prs.NDef.2Sg]	3.587482795917409	3314879	t	t		2	vc	késítes	készítesz	es	13596	1.2004262714530642	s	késíts	készítsz	61	-1.1476550494471909	222.88524590163934	5.406657046642695	TRUE	Prs.NDef.2Sg (mondas)	4096	NA	NA
fešt	fest	[/V][Prs.NDef.3Pl]	2.6777795819372385	408098	št	š	t	1	cc	feštenek	festenek	enek	13412	1.1945086602988246	nek	feštnek	festnek	1	-2.932984884457958	13412	9.50390510758612	TRUE	Prs.NDef.3Pl (mondanak)	4938	test	feštnek
közvetít	közvetít	[/V][Prs.NDef.3Pl]	2.400045025018131	215293	t	t		3	vc	közvetítenek	közvetítenek	enek	12850	1.1759182432093556	nek	közvetítnek	közvetítnek	6	-2.1548336340743144	2141.6666666666665	7.669339621095311	TRUE	Prs.NDef.3Pl (mondanak)	4938	NA	NA
telepít	telepít	[/V][Prs.NDef.3Pl]	2.546496848711112	301635	t	t		3	vc	telepítenek	telepítenek	enek	12165	1.1521272288088795	nek	telepítnek	telepítnek	24	-1.552773642746352	506.875	6.2282644248696775	TRUE	Prs.NDef.3Pl (mondanak)	4938	NA	NA
tölt	tölt	[/V][Prs.NDef.2Sg]	3.4380290110614276	2349708	lt	l	t	1	cc	töltes	töltesz	es	12150	1.151591393476373	s	tölts	töltsz	8	-2.0298948974660145	1518.75	7.3256429070888585	TRUE	Prs.NDef.2Sg (mondas)	4096	test	tölts
árt	árt	[/V][Prs.NDef.3Pl]	2.658968559291343	390799	rt	r	t	1	cc	ártanak	ártanak	anak	11801	1.1389339259058484	nak	ártnak	ártnak	6	-2.1548336340743144	1966.8333333333333	7.584180083397694	TRUE	Prs.NDef.3Pl (mondanak)	4938	test	ártnak
iráṉít	irányít	[/V][Prs.NDef.3Pl]	2.818759066171529	564604	t	t		3	vc	iráṉítanak	irányítanak	anak	11589	1.131061078406525	nak	iráṉítnak	irányítnak	8	-2.0298948974660145	1448.625	7.2783701096545554	TRUE	Prs.NDef.3Pl (mondanak)	4938	NA	NA
kattint	kattint	[/V][Prs.NDef.3Pl]	3.101250403862836	1082020	nt	n	t	2	cc	kattintanak	kattintanak	anak	11418	1.1246051542127062	nak	kattintnak	kattintnak	44	-1.2895322079717704	259.5	5.558756702605943	TRUE	Prs.NDef.3Pl (mondanak)	4938	test	kattintnak
kösönt	köszönt	[/V][Prs.1Sg›2]	2.6232584999815622	359951	nt	n	t	2	cc	kösöntelek	köszöntelek	elek	11057	1.1106524251346128	lek	kösöntlek	köszöntlek	549	-0.1934125400078659	20.140255009107467	3.0027205490328712	TRUE	Prs.1Sg›2 (mondalak)	1749	test	kösöntlek
termest	termeszt	[/V][Prs.NDef.3Pl]	1.952517684470458	76825	st	s	t	2	cc	termestenek	termesztenek	enek	10902	1.10452129323372	nek	termestnek	termesztnek	2	-2.6319548887939765	5451	8.603554357064281	TRUE	Prs.NDef.3Pl (mondanak)	4938	test	termestnek
hódít	hódít	[/V][Prs.NDef.3Pl]	2.041001468710661	94186	t	t		2	vc	hódítanak	hódítanak	anak	10786	1.0998755314941857	nak	hódítnak	hódítnak	5	-2.234014880121939	2157.2	7.676566363463072	TRUE	Prs.NDef.3Pl (mondanak)	4938	NA	NA
rögzít	rögzít	[/V][Prs.NDef.3Pl]	2.8694357903583865	634484	t	t		2	vc	rögzítenek	rögzítenek	enek	10770	1.0992308188400235	nek	rögzítnek	rögzítnek	3	-2.455863629738295	3590	8.1859074814823245	TRUE	Prs.NDef.3Pl (mondanak)	4938	NA	NA
támast	támaszt	[/V][Prs.NDef.3Pl]	2.412676973025972	221647	st	s	t	2	cc	támastanak	támasztanak	anak	10677	1.0954643582655506	nak	támastnak	támasztnak	3	-2.455863629738295	3559	8.177234885510194	TRUE	Prs.NDef.3Pl (mondanak)	4938	test	támastnak
vetít	vetít	[/V][Prs.NDef.3Pl]	2.274749092683765	161337	t	t		2	vc	vetítenek	vetítenek	enek	10616	1.092976025398421	nek	vetítnek	vetítnek	6	-2.1548336340743144	1769.3333333333333	7.478358106783989	TRUE	Prs.NDef.3Pl (mondanak)	4938	NA	NA
említ	említ	[/V][Prs.NDef.3Pl]	2.960327930133322	782191	t	t		2	vc	említenek	említenek	enek	10476	1.0872106052952368	nek	említnek	említnek	14	-1.7868568487797198	748.2857142857143	6.617784876012344	TRUE	Prs.NDef.3Pl (mondanak)	4938	NA	NA
terjest	terjeszt	[/V][Prs.NDef.3Pl]	2.4984882437993483	270068	st	s	t	2	cc	terjestenek	terjesztenek	enek	10345	1.0817456105437957	nek	terjestnek	terjesztnek	1	-2.932984884457958	10345	9.244258590179644	TRUE	Prs.NDef.3Pl (mondanak)	4938	test	terjestnek
közelít	közelít	[/V][Prs.NDef.3Pl]	2.472433197550715	254342	t	t		3	vc	közelítenek	közelítenek	enek	10072	1.0701308326418484	nek	közelítnek	közelítnek	9	-1.978742375018633	1119.111111111111	7.020289998387963	TRUE	Prs.NDef.3Pl (mondanak)	4938	NA	NA
küld	küld	[/V][Prs.NDef.2Sg]	3.329046184230405	1828231	ld	l	d	1	cc	küldes	küldesz	es	9413	1.0407431742300697	s	külds	küldsz	38	-1.3532012878411477	247.71052631578948	5.512260831820835	TRUE	Prs.NDef.2Sg (mondas)	4096	test	külds
veršeng	verseng	[/V][Prs.NDef.3Pl]	1.673041590197379	40367	ng	n	g	2	cc	veršengenek	versengenek	enek	9319	1.0363844272755696	nek	veršengnek	versengnek	327	-0.4184371317976717	28.498470948012233	3.349850434888402	TRUE	Prs.NDef.3Pl (mondanak)	4938	test	veršengnek
létešít	létesít	[/V][Prs.NDef.3Pl]	2.174723559080672	128147	t	t		3	vc	létešítenek	létesítenek	enek	9184	1.0300469905959404	nek	létešítnek	létesítnek	7	-2.087886844443701	1312	7.179307969504034	TRUE	Prs.NDef.3Pl (mondanak)	4938	NA	NA
ejt	ejt	[/V][Prs.NDef.3Pl]	2.54627650321544	301482	jt	j	t	1	cc	ejtenek	ejtenek	enek	9137	1.027818740453812	nek	ejtnek	ejtnek	4	-2.3309248931299953	2284.25	7.73379302187873	TRUE	Prs.NDef.3Pl (mondanak)	4938	test	ejtnek
edz	edz	[/V][Prs.NDef.3Pl]	2.3313488081092952	183795	dz	d	z	1	cc	edzenek	edzenek	enek	9134	1.027676122813024	nek	edznek	edznek	9	-1.978742375018633	1014.8888888888889	6.922534416408725	TRUE	Prs.NDef.3Pl (mondanak)	4938	test	edznek
kelt	kelt	[/V][Prs.NDef.2Sg]	2.7981185534768014	538398	lt	l	t	1	cc	keltes	keltesz	es	8990	1.020774807275271	s	kelts	keltsz	2	-2.6319548887939765	4495	8.410720946905721	TRUE	Prs.NDef.2Sg (mondas)	4096	test	kelts
foḏast	fogyaszt	[/V][Prs.NDef.2Sg]	2.9152615186654556	705093	st	s	t	2	cc	foḏastas	fogyasztasz	as	8874	1.0151345399225782	s	foḏasts	fogyasztsz	3	-2.455863629738295	2958	7.992268643270745	TRUE	Prs.NDef.2Sg (mondas)	4096	test	foḏasts
takarít	takarít	[/V][Prs.NDef.3Pl]	2.3213553002440577	179614	t	t		3	vc	takarítanak	takarítanak	anak	8836	1.0132708227414395	nak	takarítnak	takarítnak	13	-1.819041532151121	679.6923076923077	6.521640207078471	TRUE	Prs.NDef.3Pl (mondanak)	4938	NA	NA
ellentmond	ellentmond	[/V][Prs.NDef.3Pl]	1.8501894968434336	60698	nd	n	d	3	cc	ellentmondanak	ellentmondanak	anak	8598	1.0014125563230305	nak	ellentmondnak	ellentmondnak	29	-1.4705868865590015	296.48275862068965	5.691989067069753	TRUE	Prs.NDef.3Pl (mondanak)	4938	test	ellentmondnak
ḏóḏít	gyógyít	[/V][Prs.NDef.3Pl]	2.2302182475963392	145614	t	t		2	vc	ḏóḏítanak	gyógyítanak	anak	8581	1.000553017513747	nak	ḏóḏítnak	gyógyítnak	18	-1.6777123793546518	476.72222222222223	6.166933977910956	TRUE	Prs.NDef.3Pl (mondanak)	4938	NA	NA
kell	kell	[/V][Prs.NDef.2Sg]	4.529006843156771	28972884	ll	l	l	1	cc	kelles	kellesz	es	8577	1.0003505256196934	s	kells	kellsz	16	-1.728864901802033	536.0625	6.28425075875064	TRUE	Prs.NDef.2Sg (mondas)	4096	test	kells
kéṉserít	kényszerít	[/V][Prs.NDef.3Pl]	2.415771565786459	223232	t	t		3	vc	kéṉserítenek	kényszerítenek	enek	8540	0.9984729862310472	nek	kéṉserítnek	kényszerítnek	69	-1.0941357937207026	123.76811594202898	4.818409782185356	TRUE	Prs.NDef.3Pl (mondanak)	4938	NA	NA
