lemma_orth	form_1sg2_1	form_1sg2_2	form_2pl_1	form_2pl_2	form_3pl_1	form_3pl_2	coda	form_2sg_1	form_2sg_2	lemma
csölönt	csölöntlek	csölöntelek	csölönttök	csölöntötök	csölöntnek	csölöntenek	nt	csölöntsz	csölöntesz	čölönt
kurtoszt	kurtosztlak	kurtosztalak	kurtoszttok	kurtosztotok	kurtosztnak	kurtosztanak	st	kurtosztsz	kurtosztasz	kurtost
szűsöjt	szűsöjtlek	szűsöjtelek	szűsöjttök	szűsöjtötök	szűsöjtnek	szűsöjtenek	jt	szűsöjtsz	szűsöjtesz	sűšöjt
nyegejt	nyegejtlek	nyegejtelek	nyegejttek	nyegejtetek	nyegejtnek	nyegejtenek	jt	nyegejtsz	nyegejtesz	ṉegejt
ursojt	ursojtlak	ursojtalak	ursojttok	ursojtotok	ursojtnak	ursojtanak	jt	ursojtsz	ursojtasz	uršojt
vórnyoszt	vórnyosztlak	vórnyosztalak	vórnyoszttok	vórnyosztotok	vórnyosztnak	vórnyosztanak	st	vórnyosztsz	vórnyosztasz	vórṉost
sittyeszt	sittyesztlek	sittyesztelek	sittyeszttek	sittyesztetek	sittyesztnek	sittyesztenek	st	sittyesztsz	sittyesztesz	šiṯṯest
cséleszt	csélesztlek	csélesztelek	cséleszttek	csélesztetek	csélesztnek	csélesztenek	st	csélesztsz	csélesztesz	čélest
nyuttojt	nyuttojtlak	nyuttojtalak	nyuttojttok	nyuttojtotok	nyuttojtnak	nyuttojtanak	jt	nyuttojtsz	nyuttojtasz	ṉuttojt
vutojt	vutojtlak	vutojtalak	vutojttok	vutojtotok	vutojtnak	vutojtanak	jt	vutojtsz	vutojtasz	vutojt
pégeng	pégenglek	pégengelek	pégengtek	pégengetek	pégengnek	pégengenek	ng	pégengsz	pégengesz	pégeng
ütvöszt	ütvösztlek	ütvösztelek	ütvöszttök	ütvösztötök	ütvösztnek	ütvösztenek	st	ütvösztsz	ütvösztesz	ütvöst
rüvönt	rüvöntlek	rüvöntelek	rüvönttök	rüvöntötök	rüvöntnek	rüvöntenek	nt	rüvöntsz	rüvöntesz	rüvönt
togyont	togyontlak	togyontalak	togyonttok	togyontotok	togyontnak	togyontanak	nt	togyontsz	togyontasz	toḏont
dimbeszt	dimbesztlek	dimbesztelek	dimbeszttek	dimbesztetek	dimbesztnek	dimbesztenek	st	dimbesztsz	dimbesztesz	dimbest
sökköjt	sökköjtlek	sökköjtelek	sökköjttök	sökköjtötök	sökköjtnek	sökköjtenek	jt	sökköjtsz	sökköjtesz	šökköjt
zöccsöjt	zöccsöjtlek	zöccsöjtelek	zöccsöjttök	zöccsöjtötök	zöccsöjtnek	zöccsöjtenek	jt	zöccsöjtsz	zöccsöjtesz	zöččöjt
suvoszt	suvosztlak	suvosztalak	suvoszttok	suvosztotok	suvosztnak	suvosztanak	st	suvosztsz	suvosztasz	šuvost
hempeszt	hempesztlek	hempesztelek	hempeszttek	hempesztetek	hempesztnek	hempesztenek	st	hempesztsz	hempesztesz	hempest
vuzong	vuzonglak	vuzongalak	vuzongtok	vuzongotok	vuzongnak	vuzonganak	ng	vuzongsz	vuzongasz	vuzong
füppönt	füppöntlek	füppöntelek	füppönttök	füppöntötök	füppöntnek	füppöntenek	nt	füppöntsz	füppöntesz	füppönt
kajszoszt	kajszosztlak	kajszosztalak	kajszoszttok	kajszosztotok	kajszosztnak	kajszosztanak	st	kajszosztsz	kajszosztasz	kajsost
gíneszt	gínesztlek	gínesztelek	gíneszttek	gínesztetek	gínesztnek	gínesztenek	st	gínesztsz	gínesztesz	gínest
szüvöng	szüvönglek	szüvöngelek	szüvöngtök	szüvöngötök	szüvöngnek	szüvöngenek	ng	szüvöngsz	szüvöngesz	süvöng
potojt	potojtlak	potojtalak	potojttok	potojtotok	potojtnak	potojtanak	jt	potojtsz	potojtasz	potojt
fesszent	fesszentlek	fesszentelek	fesszenttek	fesszentetek	fesszentnek	fesszentenek	nt	fesszentsz	fesszentesz	fessent
pömpöng	pömpönglek	pömpöngelek	pömpöngtök	pömpöngötök	pömpöngnek	pömpöngenek	ng	pömpöngsz	pömpöngesz	pömpöng
pagoszt	pagosztlak	pagosztalak	pagoszttok	pagosztotok	pagosztnak	pagosztanak	st	pagosztsz	pagosztasz	pagost
nyénnyejt	nyénnyejtlek	nyénnyejtelek	nyénnyejttek	nyénnyejtetek	nyénnyejtnek	nyénnyejtenek	jt	nyénnyejtsz	nyénnyejtesz	ṉéṉṉejt
mirmeszt	mirmesztlek	mirmesztelek	mirmeszttek	mirmesztetek	mirmesztnek	mirmesztenek	st	mirmesztsz	mirmesztesz	mirmest
ofont	ofontlak	ofontalak	ofonttok	ofontotok	ofontnak	ofontanak	nt	ofontsz	ofontasz	ofont
bákont	bákontlak	bákontalak	bákonttok	bákontotok	bákontnak	bákontanak	nt	bákontsz	bákontasz	bákont
löllöszt	löllösztlek	löllösztelek	löllöszttök	löllösztötök	löllösztnek	löllösztenek	st	löllösztsz	löllösztesz	löllöst
csumlong	csumlonglak	csumlongalak	csumlongtok	csumlongotok	csumlongnak	csumlonganak	ng	csumlongsz	csumlongasz	čumlong
csampojt	csampojtlak	csampojtalak	csampojttok	csampojtotok	csampojtnak	csampojtanak	jt	csampojtsz	csampojtasz	čampojt
flöföjt	flöföjtlek	flöföjtelek	flöföjttök	flöföjtötök	flöföjtnek	flöföjtenek	jt	flöföjtsz	flöföjtesz	flöföjt
dűszöng	dűszönglek	dűszöngelek	dűszöngtök	dűszöngötök	dűszöngnek	dűszöngenek	ng	dűszöngsz	dűszöngesz	dűsöng
polloszt	pollosztlak	pollosztalak	polloszttok	pollosztotok	pollosztnak	pollosztanak	st	pollosztsz	pollosztasz	pollost
pagyont	pagyontlak	pagyontalak	pagyonttok	pagyontotok	pagyontnak	pagyontanak	nt	pagyontsz	pagyontasz	paḏont
sajlojt	sajlojtlak	sajlojtalak	sajlojttok	sajlojtotok	sajlojtnak	sajlojtanak	jt	sajlojtsz	sajlojtasz	šajlojt
hüröszt	hürösztlek	hürösztelek	hüröszttök	hürösztötök	hürösztnek	hürösztenek	st	hürösztsz	hürösztesz	hüröst
nésszent	nésszentlek	nésszentelek	nésszenttek	nésszentetek	nésszentnek	nésszentenek	nt	nésszentsz	nésszentesz	néssent
tárnyont	tárnyontlak	tárnyontalak	tárnyonttok	tárnyontotok	tárnyontnak	tárnyontanak	nt	tárnyontsz	tárnyontasz	tárṉont
gyuront	gyurontlak	gyurontalak	gyuronttok	gyurontotok	gyurontnak	gyurontanak	nt	gyurontsz	gyurontasz	ḏuront
gyahong	gyahonglak	gyahongalak	gyahongtok	gyahongotok	gyahongnak	gyahonganak	ng	gyahongsz	gyahongasz	ḏahong
jököng	jökönglek	jököngelek	jököngtök	jököngötök	jököngnek	jököngenek	ng	jököngsz	jököngesz	jököng
mörgöng	mörgönglek	mörgöngelek	mörgöngtök	mörgöngötök	mörgöngnek	mörgöngenek	ng	mörgöngsz	mörgöngesz	mörgöng
pánkojt	pánkojtlak	pánkojtalak	pánkojttok	pánkojtotok	pánkojtnak	pánkojtanak	jt	pánkojtsz	pánkojtasz	pánkojt
pétlent	pétlentlek	pétlentelek	pétlenttek	pétlentetek	pétlentnek	pétlentenek	nt	pétlentsz	pétlentesz	pétlent
áhong	áhonglak	áhongalak	áhongtok	áhongotok	áhongnak	áhonganak	ng	áhongsz	áhongasz	áhong
kucont	kucontlak	kucontalak	kuconttok	kucontotok	kucontnak	kucontanak	nt	kucontsz	kucontasz	kucont
hojont	hojontlak	hojontalak	hojonttok	hojontotok	hojontnak	hojontanak	nt	hojontsz	hojontasz	hojont
fűjönt	fűjöntlek	fűjöntelek	fűjönttök	fűjöntötök	fűjöntnek	fűjöntenek	nt	fűjöntsz	fűjöntesz	fűjönt
koszkojt	koszkojtlak	koszkojtalak	koszkojttok	koszkojtotok	koszkojtnak	koszkojtanak	jt	koszkojtsz	koszkojtasz	koskojt
rupojt	rupojtlak	rupojtalak	rupojttok	rupojtotok	rupojtnak	rupojtanak	jt	rupojtsz	rupojtasz	rupojt
ügönt	ügöntlek	ügöntelek	ügönttök	ügöntötök	ügöntnek	ügöntenek	nt	ügöntsz	ügöntesz	ügönt
büfröng	büfrönglek	büfröngelek	büfröngtök	büfröngötök	büfröngnek	büfröngenek	ng	büfröngsz	büfröngesz	büfröng
nyelkeng	nyelkenglek	nyelkengelek	nyelkengtek	nyelkengetek	nyelkengnek	nyelkengenek	ng	nyelkengsz	nyelkengesz	ṉelkeng
ornyoszt	ornyosztlak	ornyosztalak	ornyoszttok	ornyosztotok	ornyosztnak	ornyosztanak	st	ornyosztsz	ornyosztasz	orṉost
kerzeng	kerzenglek	kerzengelek	kerzengtek	kerzengetek	kerzengnek	kerzengenek	ng	kerzengsz	kerzengesz	kerzeng
sébeszt	sébesztlek	sébesztelek	sébeszttek	sébesztetek	sébesztnek	sébesztenek	st	sébesztsz	sébesztesz	šébest
odojt	odojtlak	odojtalak	odojttok	odojtotok	odojtnak	odojtanak	jt	odojtsz	odojtasz	odojt
haccsojt	haccsojtlak	haccsojtalak	haccsojttok	haccsojtotok	haccsojtnak	haccsojtanak	jt	haccsojtsz	haccsojtasz	haččojt
