lemma_orth	form_1sg2_1	form_1sg2_2	form_2pl_1	form_2pl_2	form_3pl_1	form_3pl_2	coda	form_2sg_1	form_2sg_2	lemma
rüvönt	rüvöntlek	rüvöntelek	rüvönttök	rüvöntötök	rüvöntnek	rüvöntenek	nt	rüvöntsz	rüvöntesz	rüvönt
togyont	togyontlak	togyontalak	togyonttok	togyontotok	togyontnak	togyontanak	nt	togyontsz	togyontasz	toḏont
bázojt	bázojtlak	bázojtalak	bázojttok	bázojtotok	bázojtnak	bázojtanak	jt	bázojtsz	bázojtasz	bázojt
kespeng	kespenglek	kespengelek	kespengtek	kespengetek	kespengnek	kespengenek	ng	kespengsz	kespengesz	kešpeng
környönt	környöntlek	környöntelek	környönttök	környöntötök	környöntnek	környöntenek	nt	környöntsz	környöntesz	körṉönt
dimbeszt	dimbesztlek	dimbesztelek	dimbeszttek	dimbesztetek	dimbesztnek	dimbesztenek	st	dimbesztsz	dimbesztesz	dimbest
sökköjt	sökköjtlek	sökköjtelek	sökköjttök	sökköjtötök	sökköjtnek	sökköjtenek	jt	sökköjtsz	sökköjtesz	šökköjt
zöccsöjt	zöccsöjtlek	zöccsöjtelek	zöccsöjttök	zöccsöjtötök	zöccsöjtnek	zöccsöjtenek	jt	zöccsöjtsz	zöccsöjtesz	zöččöjt
lárnyont	lárnyontlak	lárnyontalak	lárnyonttok	lárnyontotok	lárnyontnak	lárnyontanak	nt	lárnyontsz	lárnyontasz	lárṉont
suvoszt	suvosztlak	suvosztalak	suvoszttok	suvosztotok	suvosztnak	suvosztanak	st	suvosztsz	suvosztasz	šuvost
hempeszt	hempesztlek	hempesztelek	hempeszttek	hempesztetek	hempesztnek	hempesztenek	st	hempesztsz	hempesztesz	hempest
lüllöszt	lüllösztlek	lüllösztelek	lüllöszttök	lüllösztötök	lüllösztnek	lüllösztenek	st	lüllösztsz	lüllösztesz	lüllöst
kercseng	kercsenglek	kercsengelek	kercsengtek	kercsengetek	kercsengnek	kercsengenek	ng	kercsengsz	kercsengesz	kerčeng
vuzong	vuzonglak	vuzongalak	vuzongtok	vuzongotok	vuzongnak	vuzonganak	ng	vuzongsz	vuzongasz	vuzong
füppönt	füppöntlek	füppöntelek	füppönttök	füppöntötök	füppöntnek	füppöntenek	nt	füppöntsz	füppöntesz	füppönt
ubong	ubonglak	ubongalak	ubongtok	ubongotok	ubongnak	ubonganak	ng	ubongsz	ubongasz	ubong
kajszoszt	kajszosztlak	kajszosztalak	kajszoszttok	kajszosztotok	kajszosztnak	kajszosztanak	st	kajszosztsz	kajszosztasz	kajsost
jesszent	jesszentlek	jesszentelek	jesszenttek	jesszentetek	jesszentnek	jesszentenek	nt	jesszentsz	jesszentesz	jessent
numoszt	numosztlak	numosztalak	numoszttok	numosztotok	numosztnak	numosztanak	st	numosztsz	numosztasz	numost
gíneszt	gínesztlek	gínesztelek	gíneszttek	gínesztetek	gínesztnek	gínesztenek	st	gínesztsz	gínesztesz	gínest
szüvöng	szüvönglek	szüvöngelek	szüvöngtök	szüvöngötök	szüvöngnek	szüvöngenek	ng	szüvöngsz	szüvöngesz	süvöng
potojt	potojtlak	potojtalak	potojttok	potojtotok	potojtnak	potojtanak	jt	potojtsz	potojtasz	potojt
fesszent	fesszentlek	fesszentelek	fesszenttek	fesszentetek	fesszentnek	fesszentenek	nt	fesszentsz	fesszentesz	fessent
pömpöng	pömpönglek	pömpöngelek	pömpöngtök	pömpöngötök	pömpöngnek	pömpöngenek	ng	pömpöngsz	pömpöngesz	pömpöng
pagoszt	pagosztlak	pagosztalak	pagoszttok	pagosztotok	pagosztnak	pagosztanak	st	pagosztsz	pagosztasz	pagost
nyénnyejt	nyénnyejtlek	nyénnyejtelek	nyénnyejttek	nyénnyejtetek	nyénnyejtnek	nyénnyejtenek	jt	nyénnyejtsz	nyénnyejtesz	ṉéṉṉejt
mirmeszt	mirmesztlek	mirmesztelek	mirmeszttek	mirmesztetek	mirmesztnek	mirmesztenek	st	mirmesztsz	mirmesztesz	mirmest
ofont	ofontlak	ofontalak	ofonttok	ofontotok	ofontnak	ofontanak	nt	ofontsz	ofontasz	ofont
bákont	bákontlak	bákontalak	bákonttok	bákontotok	bákontnak	bákontanak	nt	bákontsz	bákontasz	bákont
púrnyong	púrnyonglak	púrnyongalak	púrnyongtok	púrnyongotok	púrnyongnak	púrnyonganak	ng	púrnyongsz	púrnyongasz	púrṉong
löllöszt	löllösztlek	löllösztelek	löllöszttök	löllösztötök	löllösztnek	löllösztenek	st	löllösztsz	löllösztesz	löllöst
csumlong	csumlonglak	csumlongalak	csumlongtok	csumlongotok	csumlongnak	csumlonganak	ng	csumlongsz	csumlongasz	čumlong
csampojt	csampojtlak	csampojtalak	csampojttok	csampojtotok	csampojtnak	csampojtanak	jt	csampojtsz	csampojtasz	čampojt
flöföjt	flöföjtlek	flöföjtelek	flöföjttök	flöföjtötök	flöföjtnek	flöföjtenek	jt	flöföjtsz	flöföjtesz	flöföjt
dűszöng	dűszönglek	dűszöngelek	dűszöngtök	dűszöngötök	dűszöngnek	dűszöngenek	ng	dűszöngsz	dűszöngesz	dűsöng
polloszt	pollosztlak	pollosztalak	polloszttok	pollosztotok	pollosztnak	pollosztanak	st	pollosztsz	pollosztasz	pollost
pagyont	pagyontlak	pagyontalak	pagyonttok	pagyontotok	pagyontnak	pagyontanak	nt	pagyontsz	pagyontasz	paḏont
sajlojt	sajlojtlak	sajlojtalak	sajlojttok	sajlojtotok	sajlojtnak	sajlojtanak	jt	sajlojtsz	sajlojtasz	šajlojt
hüröszt	hürösztlek	hürösztelek	hüröszttök	hürösztötök	hürösztnek	hürösztenek	st	hürösztsz	hürösztesz	hüröst
nésszent	nésszentlek	nésszentelek	nésszenttek	nésszentetek	nésszentnek	nésszentenek	nt	nésszentsz	nésszentesz	néssent
höttönt	höttöntlek	höttöntelek	höttönttök	höttöntötök	höttöntnek	höttöntenek	nt	höttöntsz	höttöntesz	höttönt
gyatyojt	gyatyojtlak	gyatyojtalak	gyatyojttok	gyatyojtotok	gyatyojtnak	gyatyojtanak	jt	gyatyojtsz	gyatyojtasz	ḏaṯojt
sehejt	sehejtlek	sehejtelek	sehejttek	sehejtetek	sehejtnek	sehejtenek	jt	sehejtsz	sehejtesz	šehejt
tárnyont	tárnyontlak	tárnyontalak	tárnyonttok	tárnyontotok	tárnyontnak	tárnyontanak	nt	tárnyontsz	tárnyontasz	tárṉont
dokont	dokontlak	dokontalak	dokonttok	dokontotok	dokontnak	dokontanak	nt	dokontsz	dokontasz	dokont
gyuront	gyurontlak	gyurontalak	gyuronttok	gyurontotok	gyurontnak	gyurontanak	nt	gyurontsz	gyurontasz	ḏuront
gyahong	gyahonglak	gyahongalak	gyahongtok	gyahongotok	gyahongnak	gyahonganak	ng	gyahongsz	gyahongasz	ḏahong
jököng	jökönglek	jököngelek	jököngtök	jököngötök	jököngnek	jököngenek	ng	jököngsz	jököngesz	jököng
mörgöng	mörgönglek	mörgöngelek	mörgöngtök	mörgöngötök	mörgöngnek	mörgöngenek	ng	mörgöngsz	mörgöngesz	mörgöng
pánkojt	pánkojtlak	pánkojtalak	pánkojttok	pánkojtotok	pánkojtnak	pánkojtanak	jt	pánkojtsz	pánkojtasz	pánkojt
pétlent	pétlentlek	pétlentelek	pétlenttek	pétlentetek	pétlentnek	pétlentenek	nt	pétlentsz	pétlentesz	pétlent
áhong	áhonglak	áhongalak	áhongtok	áhongotok	áhongnak	áhonganak	ng	áhongsz	áhongasz	áhong
kucont	kucontlak	kucontalak	kuconttok	kucontotok	kucontnak	kucontanak	nt	kucontsz	kucontasz	kucont
hojont	hojontlak	hojontalak	hojonttok	hojontotok	hojontnak	hojontanak	nt	hojontsz	hojontasz	hojont
fűjönt	fűjöntlek	fűjöntelek	fűjönttök	fűjöntötök	fűjöntnek	fűjöntenek	nt	fűjöntsz	fűjöntesz	fűjönt
koszkojt	koszkojtlak	koszkojtalak	koszkojttok	koszkojtotok	koszkojtnak	koszkojtanak	jt	koszkojtsz	koszkojtasz	koskojt
szacsojt	szacsojtlak	szacsojtalak	szacsojttok	szacsojtotok	szacsojtnak	szacsojtanak	jt	szacsojtsz	szacsojtasz	sačojt
rupojt	rupojtlak	rupojtalak	rupojttok	rupojtotok	rupojtnak	rupojtanak	jt	rupojtsz	rupojtasz	rupojt
avont	avontlak	avontalak	avonttok	avontotok	avontnak	avontanak	nt	avontsz	avontasz	avont
ügönt	ügöntlek	ügöntelek	ügönttök	ügöntötök	ügöntnek	ügöntenek	nt	ügöntsz	ügöntesz	ügönt
büfröng	büfrönglek	büfröngelek	büfröngtök	büfröngötök	büfröngnek	büfröngenek	ng	büfröngsz	büfröngesz	büfröng
nyelkeng	nyelkenglek	nyelkengelek	nyelkengtek	nyelkengetek	nyelkengnek	nyelkengenek	ng	nyelkengsz	nyelkengesz	ṉelkeng
ornyoszt	ornyosztlak	ornyosztalak	ornyoszttok	ornyosztotok	ornyosztnak	ornyosztanak	st	ornyosztsz	ornyosztasz	orṉost
kerzeng	kerzenglek	kerzengelek	kerzengtek	kerzengetek	kerzengnek	kerzengenek	ng	kerzengsz	kerzengesz	kerzeng
sébeszt	sébesztlek	sébesztelek	sébeszttek	sébesztetek	sébesztnek	sébesztenek	st	sébesztsz	sébesztesz	šébest
odojt	odojtlak	odojtalak	odojttok	odojtotok	odojtnak	odojtanak	jt	odojtsz	odojtasz	odojt
haccsojt	haccsojtlak	haccsojtalak	haccsojttok	haccsojtotok	haccsojtnak	haccsojtanak	jt	haccsojtsz	haccsojtasz	haččojt
